,h,ecc,anomalia_verdadeira,raan,inc,arg_per,q0,q1,q2,q3,wx3,wy3,wz3,X_perifocal,Y_perifocal,Z_perifocal,distancia
0,52716.692328206365,0.001999717963034829,0.003477030878661067,-5.308360159711919e-10,1.0995573635980471,0.007411402481025367,0.8526277787415848,-0.0028162719550204776,0.5224909748028428,0.0045957381412136625,0.0,0.0,0.0010780070154523262,6958.069978448536,24.19352166885433,0,6958.112039301865
1,52716.67210687092,0.0019988719884607253,0.006958028317677624,-4.246486688707018e-09,1.0995571681516332,0.014818836240295591,0.8525906222391494,-0.005632462090641379,0.5224682052688658,0.009191342765302084,0.0,0.0,0.0010780070154523262,6957.944393044566,48.41435543557109,0,6958.112827952171
2,52716.638415256224,0.0019974625143267897,0.010446967250134106,-1.4330285526150511e-08,1.0995568425097586,0.02221832336101009,0.8525286959259721,-0.00844848858975603,0.5224302567753444,0.013786680358881705,0.0,0.0,0.0010780070154523262,6957.7344448309495,72.68986833572207,0,6958.11414262124
3,52716.59126927939,0.0019954902663959374,0.013947838638091457,-3.396263522393744e-08,1.099556386825709,0.029605869897942033,0.8524420015900878,-0.011264269639874792,0.522377130417987,0.018381617416103287,0.0,0.0,0.0010780070154523262,6957.4391710537175,97.04753225404572,0,6958.11598368619
4,52716.530691448854,0.001992956271974291,0.017464658937698954,-6.631929272599776e-08,1.099555801316245,0.0369774564125718,0.852330541760483,-0.014079723435815842,0.5223088277465593,0.022976020443042797,0.0,0.0,0.0010780070154523262,6957.057215794084,121.5149863384414,0,6958.118351662133
5,52716.456710578306,0.001989861847836812,0.021001477698125857,-1.1457001800106529e-07,1.0995550862588535,0.044329030374327234,0.8521943196764011,-0.016894768181887447,0.522225350746072,0.027569755961262873,0.0,0.0,0.0010780070154523262,6956.586821950906,146.12008630367654,0,6958.121247216262
6,52716.36936184581,0.001986208604175095,0.02456238615618133,-1.8187705984470653e-07,1.0995542419923143,0.05165649756612289,0.8520333392954215,-0.019709322094261798,0.5221267018417326,0.032162690511685965,0.0,0.0,0.0010780070154523262,6956.025820759818,170.8909604923493,0,6958.124671163581
7,52716.26868678628,0.001981998445828403,0.028151526010138796,-2.713936433924406e-07,1.0995532689166332,0.05895571331071854,0.8518476052944123,-0.022523303403370866,0.5220128838995302,0.03675469065850449,0.0,0.0,0.0010780070154523262,6955.371618802413,195.85606696453044,0,6958.1286244656985
8,52716.154733271615,0.0019772335732393008,0.03177309830164556,-3.8626247652777464e-07,1.099552167492854,0.06622247358898865,0.8516371230693934,-0.025336630356282072,0.5218839002261493,0.041345622993057524,0.0,0.0,0.0010780070154523262,6954.621182416492,221.04425107067,0,6958.133108230078
9,52716.027555487795,0.001971916483579546,0.03543137251974165,-5.296142611986455e-07,1.0995509382428352,0.07345250593608404,0.8514018987353804,-0.028149221219073525,0.5217397545688766,0.045935354137706795,0.0,0.0,0.0010780070154523262,6953.771019374328,246.48480424636924,0,6958.138123709146
10,52715.88721390884,0.0019660499720565014,0.03913069596178821,-7.045662103375287e-07,1.0995495817490113,0.08064146008068349,0.8511419391262063,-0.030960994279208474,0.5215804511154901,0.050523750749711334,0.0,0.0,0.0010780070154523262,6952.817157679424,272.2075242114957,0,6958.143672299296
11,52715.73377526791,0.0019596371334119804,0.04287550338738643,-9.142205710782283e-07,1.0995480986541113,0.08778489829125512,0.850857251794324,-0.03377186784790946,0.5214059944941389,0.05511067952510178,0.0,0.0,0.0010780070154523262,6951.7551213077895,298.24277675916227,0,6958.1497555397655
12,52715.56731252528,0.001952681363627047,0.04667032700267535,-1.1616631549593449e-06,1.0995464896608578,0.09487828539193963,0.8505478450105858,-0.03658176026253124,0.5212163897732084,0.0596960072025527,0.0,0.0,0.0010780070154523262,6950.579902693493,324.6215593222737,0,6958.156375111406
13,52715.3879048334,0.0019451863618481747,0.05051980681422903,-1.4499618758020788e-06,1.0995447555316362,0.10191697840883421,0.8502137277640036,-0.039390589888933486,0.521011642461172,0.06427960056725453,0.0,0.0,0.0010780070154523262,6949.2859317299235,351.3755665099893,0,6958.163532835345
14,52715.19563749899,0.0019371561325519393,0.054428701393212355,-1.7821652959458606e-06,1.0995428970881316,0.10889621580601849,0.8498549097614879,-0.04219827512385246,0.5207917585064317,0.06886132645478368,0.0,0.0,0.0010780070154523262,6947.867041027531,378.537257807029,0,6958.171230671513
15,52714.99060194214,0.001928594987967536,0.05840189909262131,-2.1613011815224947e-06,1.0995409152109425,0.11581110626849601,0.8494714014275658,-0.045004734397271796,0.520556744297146,0.07344105175497133,0.0,0.0,0.0010780070154523262,6946.316427135393,406.1399276328793,0,6958.179470717082
16,52714.772895652524,0.0019195075507785328,0.06244442976242763,-2.5903750674454564e-06,1.0995388108391653,0.1226566169872317,0.8490632139040781,-0.04780988617479216,0.520306606661044,0.07801864341577032,0.0,0.0,0.0010780070154523262,6944.626607397534,434.2177779591691,0,6958.188255204768
